uid,BLOCK_ADDRESS,Location,Person,Zip
1870674,020XX Lakeshore Dr,"(30.03041694, -90.07216896)",Grace,
1876878,085XX N I-10 Service Rd,"(30.03540302, -89.99677114)",Grace,
1877476,016XX Governor Nicholls St,"(29.96057397, -90.06666241)",Grace,
1877812,004XX Slidell St,"(29.94771748, -90.05176887)",Grace,
1878720,006XX Majestic Pl,"(29.94066926, -90.04806204)",Grace,
1879074,036XX Garden Oaks Dr~,"(29.91962686, -90.02251345)",Grace,
1884686,121XX N I-10 Service Rd,"(30.02756361, -89.96817036)",Grace,
1885387,022XX Delachaise St,"(29.93398518, -90.09570226)",Grace,
1885594,033XX Cleveland Ave,"(29.96841235, -90.09415129)",Grace,
1886166,Frenchmen St & N Claiborne Ave,"(29.9731886, -90.05851409)",Grace,
1892639,034XX Memorial Park Dr,"(29.91841997, -90.02143777)",Grace,
1893562,052XX N Rampart St,"(29.96085841, -90.02068096)",Grace,
1898146,039XX Duplessis St,"(29.99701286, -90.07708381)",Grace,
1898470,017XX Pace Blvd,"(29.93376575, -90.02812735)",Grace,
1899656,033XX Seine St,"(29.92224627, -90.0210775)",Grace,
1899834,033XX Preston Pl,"(29.91856879, -89.98283105)",Grace,
1901786,036XX Napoleon Ave,"(29.94622364, -90.10377015)",Grace,
1904267,Saint Charles Ave & Howard Ave,"(29.94352983, -90.07295271)",Grace,
1905222,French St & Canal Blvd,"(30.00284745, -90.1084187)",Grace,
1909406,030XX Wall Blvd,"(29.93431108, -90.0251904)",Grace,
1914870,008XX Gravier St,"(29.95251524, -90.07219047)",Grace,
1915908,090XX Bunker Hill Rd,"(30.03319352, -89.98721115)",Grace,
1917865,Earhart Blvd & Magnolia St,"(29.94830566, -90.08349436)",Grace,
1919715,019XX Martin Luther King Jr Blvd,"(29.94126272, -90.07954525)",Grace,
1926324,Danneel St & Seventh St,"(29.93307417, -90.09060909)",Grace,
1927957,023XX Annette St,"(29.98118637, -90.06366048)",Grace,
1930403,037XX Garden Oaks Dr,"(29.91849342, -90.02253787)",Grace,
1930921,075XX Patterson Dr,"(29.91993114, -89.97147663)",Grace,
1934863,018XX Oretha Castle Haley Blvd,"(29.93836885, -90.08098476)",Grace,
1934966,029XX Dryades St,"(29.93249307, -90.08981491)",Grace,
1935111,022XX N Broad St,"(29.98774039, -90.06750512)",Grace,
1939706,019XX New Orleans St`,"(29.97620816, -90.0658357)",Grace,
1940045,N Rocheblave St & Columbus St,"(29.97591485, -90.07415889)",Grace,
1940458,047XX Iberville St,"(29.97982424, -90.10657246)",Grace,
1941912,005XX Andry St,"(29.95601842, -90.02055743)",Grace,
1944282,070XX Lawrence Rd,"(30.02907304, -89.99777791)",Grace,
1946470,Lancelot Dr & Chef Menteur Blvd,"(30.01478314, -89.98464355)",Grace,
1946802,085XX N I-10 Service Rd,"(30.03820239, -89.97709764)",Grace,
1947866,016XX Mazant St,"(29.97081129, -90.03302572)",Grace,
1948607,014XX Pauline St,"(29.97001107, -90.03617777)",Grace,
1951636,010XX Lamanche St,"(29.95991279, -90.0150786)",Grace,
1952062,St Bernard Ave & N Claiborne Ave,"(29.972855, -90.06582325)",Grace,
1956779,042XX Ulloa St,"(29.97096089, -90.10709439)",Grace,
1957009,014XX Saint Denis St,"(29.99463452, -90.07754209)",Grace,
1957138,067XX Coventry St,"(30.03240503, -90.01385981)",Grace,
1957787,S Carrollton Ave & Washington Ave,"(29.96566445, -90.11022088)",Grace,
1958725,014XX Independence St,"(29.96931025, -90.03715369)",Grace,
1959784,014XX Benton St,"(29.96420729, -90.011309)",Grace,
1960784,048XX Coronado Dr,"(30.02439292, -89.9644631)",Grace,
1963414,005XX Josephine St,"(29.92578519, -90.07176171)",Grace,
1963461,070XX S Claiborne Ave,"(29.94928338, -90.11554447)",Grace,
1963557,078XX Saint Charles Ave,"(29.94144965, -90.13184896)",Grace,
1964669,078XX Read Blvd,"(30.04671913, -89.98203365)",Grace,
1965971,055XX Tullis Dr,"(29.9008558, -90.00308519)",Grace,
1966410,026XX N Galvez St,"(29.9788639, -90.04620708)",Grace,
1973383,028XX Arts St,"(29.9875131, -90.05122339)",Grace,
1973710,051XX Bundy Rd,"(30.02554328, -89.97999844)",Grace,
1973999,003XX Chartres St,"(29.95454289, -90.06631593)",Grace,
1974135,020XX Spain St,"(29.97805154, -90.05382094)",Grace,
1974344,031XX Blair St,"(29.92087552, -89.98028851)",Grace,
1974898,131XX Sevres St`,"(30.03442041, -89.92995441)",Grace,
1976459,006XX Royal St,"(29.95737151, -90.06518155)",Grace,
1977553,019XX Laharpe St,"(29.97413222, -90.06927815)",Grace,
1979187,060XX Chef Menteur Hwy,"(30.0100373, -90.01924763)",Grace,
1982218,016XX Pauline St,"(29.97154512, -90.03538203)",Grace,
1983133,018XX Pauline St,"(29.97378225, -90.03466633)",Grace,
1983307,017XX Allen St,"(29.97498823, -90.06468803)",Grace,
1983862,061XX Tullis Dr,"(29.9064715, -89.98849118)",Namratha,
1984791,046XX Baudin St,"(29.97518855, -90.10941146)",Namratha,
1984959,018XX Tita St,"(29.93629079, -90.02364721)",Namratha,
1986084,057XX Lafaye St,"(30.01773273, -90.04897951)",Namratha,
1987242,Perdido St & O'Keefe Ave,"(29.95149807, -90.07394248)",Namratha,
1988356,038XX Garden Oaks Dr,"(29.91816567, -90.02294276)",Namratha,
1988672,055XX Wilton Dr,"(30.0147406, -90.06628167)",Namratha,
1990523,015XX Spain St,"(29.97333987, -90.05382518)",Namratha,
1991748,022XX Gravier St,"(29.95866038, -90.08658501)",Namratha,
1995745,029XX General Taylor St,"(29.93973517, -90.09960813)",Namratha,
1996818,021XX Danneel St,"(29.93828824, -90.08268425)",Namratha,
1998509,121XX N I-10 Service Rd,"(29.91635508, -90.11864282)",Namratha,
1999074,018XX N Miro St,"(29.97909547, -90.06511831)",Namratha,
2001198,041XX Davey St,"(29.99915071, -90.08421395)",Namratha,
2002091,054XX Vicksburg St,"(29.98765516, -90.10864119)",Namratha,
2004085,029XX Carondelet St,"(29.93095056, -90.08844888)",Namratha,
2004295,101XX Curran Blvd,"(30.04727305, -89.98071308)",Namratha,
2008695,003XX N Lopez St,"(29.97064368, -90.08996327)",Namratha,
2009195,019XX Filmore Ave,"(29.96230115, -90.05231855)",Namratha,
2014440,039XX Oregon St,"(29.91767785, -90.02820099)",Namratha,
2014555,079XX Haney Dr,"(30.05487147, -89.97040523)",Namratha,
2014768,030XX Marigny St,"(29.98934134, -90.05732299)",Namratha,
2016678,Kerlerec St & N Claiborne Ave,"(29.97010814, -90.06766821)",Namratha,
2018346,014XX Independence St,"(29.97018716, -90.03707436)",Namratha,
2022207,135XX Chef Menteur Hwy,"(30.03178972, -89.92405327)",Namratha,
2023392,020XX Mandeville St,"(29.97819703, -90.05515527)",Namratha,
2027017,101XX Hammond St,,Namratha,
2028625,045XX N Rampart St,"(29.96313113, -90.03071859)",Namratha,
2028863,008XX Atlantic Ave,"(29.94740955, -90.04544089)",Namratha,
2033250,038XX Garden Oaks Dr,"(29.91817729, -90.02292757)",Namratha,
2035573,045XX Coliseum St,"(29.92334644, -90.10353766)",Namratha,
2036668,059XX Boeing St,"(30.01383677, -90.02004147)",Namratha,
2037382,031XX Toulouse St,"(29.9724303, -90.08781304)",Namratha,
2037897,002XX Carondelet St,"(29.95274154, -90.07092043)",Namratha,
2038275,S Dorgenois St & 4th St,"(29.94998914, -90.09892746)",Namratha,
2039459,033XX Kabel,"(29.920299, -90.0110936)",Namratha,
2040844,014XX N Prieur St,"(29.97215372, -90.0708089)",Namratha,
2042633,038XX Mauldin St,"(29.99475338, -90.03155877)",Namratha,
2051272,031XX Rue Parc Fontaine,"(29.92352764, -90.0097566)",Namratha,
2053028,032XX Rue Parc Fontaine,"(29.92259053, -90.01005177)",Namratha,
2053467,090XX Bunker Hill Rd,"(30.03793901, -89.98901248)",Namratha,
2054567,015XX La Salle St,"(29.94336525, -90.08387363)",Namratha,
2059189,016XX Agriculture St,"(29.98717165, -90.07199821)",Namratha,
2059843,080XX Sandy Cove Dr,"(30.06159791, -89.96196243)",Namratha,
2061440,121XX N I-10 Service Rd,"(30.04825109, -89.95958404)",Namratha,
2062054,063XX Hayne Blvd,"(30.03436565, -90.02164048)",Namratha,
2063621,014XX Saint Denis St,"(29.9947276, -90.07607512)",Namratha,
2063898,041XX Cadillac St,"(29.998772, -90.081706)",Namratha,
2069543,034XX S Claiborne Ave,"(29.94127504, -90.09774615)",Namratha,
2070069,024XX Sanctuary Dr,"(29.95011851, -90.03174091)",Namratha,
2071988,051XX Burgundy St,"(29.96014167, -90.02201862)",Namratha,
2072026,008XX Nunez St,"(29.94703423, -90.05091685)",Namratha,
2077964,051XX Bundy Rd,"(30.02554328, -89.97999844)",Namratha,
2079096,013XX Teche St,"(29.94190146, -90.052125)",Namratha,
2079221,018XX Saint Thomas St,"(29.92547034, -90.06975701)",Namratha,
2080033,005XX St Andrews,"(29.93620634, -90.07752567)",Namratha,
2080478,X Dis,"(0.0, 0.0)",Namratha,
2082297,015XX N Roman St,"(29.97258721, -90.06884154)",Namratha,
2083337,019XX Saint Thomas St,"(29.92716334, -90.07069206)",Namratha,
2083843,025XX Agriculture St,"(29.98819651, -90.04979402)",Namratha,
2086058,127XX Hayne Blvd,"(30.06092231, -89.96247546)",Namratha,
2088736,019XX Alvar St,"(29.97406126, -90.03391878)",Namratha,
2089897,047XX Camelot Dr,"(30.02080238, -89.98254547)",Namratha,
2090534,070XX Bundy Rd,"(30.03530435, -89.98654105)",Namratha,
2091569,039XX Annunciation St,"(29.91847051, -90.09601004)",Namratha,
2092620,051XX Bundy Rd,"(30.02756361, -89.96817036)",Namratha,
2093876,035XX Monticello Ave,"(29.97405593, -90.12512423)",Namratha,
2096444,015XX Saint Andrew St,"(29.93434939, -90.0776719)",Namratha,
2099305,Forstall St & N Claiborne Ave,"(29.96717111, -90.01981686)",Namratha,
2100998,070XX Lawrence Rd,"(30.0306218, -89.99506029)",Namratha,
2101000,034XX S Carrollton Ave,"(29.9631178, -90.11261164)",Namratha,
2101027,037XX Garden Oaks Dr,"(29.91837641, -90.02257925)",Namratha,
2103629,005XX Wagner St,"(29.94949563, -90.0393392)",Namratha,
2104260,035XX Paris Ave,"(29.99286392, -90.07286737)",Namratha,
2104672,035XX Nashville Ave,"(29.94801178, -90.10977153)",Namratha,
2104716,035XX Mansfield Ave,"(29.91673765, -89.98182035)",Namratha,
2104746,016XX N Roman St,"(29.97520199, -90.06621911)",Namratha,
2104831,Burgundy St & Canal St,"(29.95509736, -90.07168101)",Namratha,
2105870,020XX Congress St,"(29.97569569, -90.03604104)",Namratha,
2108391,034XX Garden Oaks Dr,"(29.92155849, -90.02282091)",Namratha,
